"Name","Description","Email","Website","Instagram"
"Advocates for Rare Diseases","Advocates for Rare Diseases is an organization dedicated to increasing awareness and fundraising for individuals impacted by rare diseases. Our organization is open to all undergraduate UW-Madison students passionate about raising funds for research and eager to learn more about rare diseases. Each semester ARD members collaborate to choose one rare disease to educate ourselves as a club on, spread awareness to the campus community, and develop a fundraising event to support research.","ardwisco@office365.wisc.edu","https://groupme.com/join_group/102747085/4JFfahL2","No Instagram available"
"African Christian Fellowship (UW-Madison)","ACF UW-Madison is affiliated to ACF Madison, and by extension ACF USA. Founded in 1977, ACF USA now has over 50 chapters across different cities of the United States. The UW-Madison chapter is home for African students in the University.
    The Fellowship have the following objectives:
A. To provide and promote Christian fellowship and worship. 
B. To teach and mobilize Christians for effective Godly living and Christian ministry. 
C. To minister and support evangelization and missions on the premise that Jesus Christ is Lord and Savior of all nations.
D. To build and maintain bridges of understanding, unity, and cooperation among Christians of differing descent, origin, heritage and experience.
E. To strengthen families.
F. To positively impact Africa’s spiritual and economic development.
G. To otherwise engage in any lawful activities which are consistent with its religious, educational, and charitable existence.","mosesoluwanifise@gmail.com","https://uwmadison.campuslabs.com/engage/organization/acf-uwmadison/contact","www.instagram.com/acfuwmadison"
"African Students Association","ASA is a multicultural student group at the University of Wisconsin - Madison. Our mission is to promote cultural and social awareness of African students amongst the entire student body and faculty of our university. We work to facilitate better communication and understanding between African students and other members of the university community, while encouraging activities that portray the noble cultural treasures of the African continent.
Anybody and everybody is welcome to become a member. People can join ASA for many reasons including making new friends and learning the rich and colorful cultures of Africa, just to mention a few!","badgerasa@gmail.com","http://eepurl.com/iaA5-v","No Instagram available"
"AHANA-MAPS Pre-Health Society","AHANA stands for African, Hispanic, Asian, and Native American. We are a student organization grounded in the belief of providing students with an essential, well-rounded perspective of the healthcare field, enriching experiences, and community service opportunities.
AHANA strives to provide platforms for undergraduates to share experiences common to students entering health professions.
AHANA facilitates social and educational meetings to facilitate fellowship among students interested in minority health concerns.","ahanaprehealthsociety@gmail.com","https://uwmadison.campuslabs.com/engage/organization/ahanaprehealthsociety/contact","https://www.instagram.com/ahana_maps/"
"AI in Medicine - UW Madison","In an era of rapid technological evolution, the medical field stands at the cusp of a paradigm shift. The integration of Artificial Intelligence (AI) into medical practices promises advancements in diagnostics, treatment planning, research, and patient care. As the next generation of medical professionals, it is imperative for students to understand and be at the forefront of this transformative journey. The University of Wisconsin-Madison, with its rich history of research and innovation, is ideally positioned to foster this understanding through the formation of an ""AI in Medicine"" club. Our goal is to create a multidisciplinary platform for students of all backgrounds to explore, understand, and innovate in the convergence of AI and medicine, while promoting diversity, inclusion, and collaboration. We will aim to empower students with the knowledge and skills in AI, ensuring that the future of medicine remains patient-centered, equitable, and technologically advanced.
  Interested? Fill out our membership form! https://docs.google.com/forms/d/15k4iU_bo9THPX1K6LD9f0aqM_qsp8s0U7L253hh5Bew/edit","Aiinmedicineuw@outlook.com","https://uwmadison.campuslabs.com/engage/organization/aiinmedicine/contact","No Instagram available"
"AIGA Wisconsin UW-Madison","AIGA UW-Madison is a group for students interested in graphic design. Connected to the national AIGA and the Wisconsin chapter of AIGA, AIGA UW-Madison provides students with an opportunity to learn more about the graphic design community at the University.  It also allows students to learn about the practice of graphic design as a profession.  AIGA UW-Madison connects students with similar interests in the design field.  Connection with the local and national chapters creates networking opportunities for students.  AIGA is nationally recognized, and students can benefit from participation with the group before entering professional practice.","aigauwmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/aigauwmadison/contact","https://www.instagram.com/aigauwmadison/"
"Aim High","At Aim High, our mission is to empower high school students by providing free, high-quality ACT/SAT tutoring. We ensure that all students, regardless of background, have the opportunity to access higher education and achieve their highest potential.","agopal4@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/aimhigh/contact","No Instagram available"
"Albanian American Student Organization","The Albanian American Student Organization at UW Madison is a vibrant and inclusive community dedicated to exploring, celebrating, and preserving the rich history of Albanian culture. Our organization serves as a dynamic platform for students to immerse themselves in the beauty and diversity of the Albanian culture. Through engaging events, informative meetings, and cultural showcases, we work to provide deeper understanding on what it means to be an Albanian. We provide a welcoming space for Albanian (and non-Albanian) students to forge meaningful connections, cultivating friendships and a sense of belonging that extends beyond the campus boundaries. By actively participating in both on-campus and off-campus Albanian events, we ensure that our members play an integral role in the broader Albanian community while fostering a spirit of unity, pride, and cultural exchange.","akjonuzi@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/aaso/contact","https://www.instagram.com/aaso.uwmadison/"
"Alexander Hamilton Society UW-Madison Chapter","The Alexander Hamilton Society (AHS) is a non-partisan, not-for-profit, national organization that seeks to identify, educate, and launch young people into foreign policy and national security careers imbued with the Hamiltonian perspective of strong and principled American leadership in global affairs.","ahswisconsin@gmail.com","https://ahswisconsin.wixsite.com/my-site","No Instagram available"
"Allied Scholars For Animal Protection UW-Madison","ASAP focuses on both short term (1-5 years) and long term (20-30 years) changes. By providing a unified infrastructure, ASAP ensures for the first time that there is a strong, effective, sustained, and united effort to end animal oppression on campuses across the country. The students we train and mentor will become the next generation of industry leaders in health, medicine, journalism, the environmental sciences, business, academia, government, law, and the nonprofit world.  
https://www.youtube.com/watch?v=PhHpJqkCzRs","Ryan@alliedscholars.org","https://www.alliedscholars.org/uwmadison","No Instagram available"
"Alpha Chapter of Alpha Chi Sigma","Alpha Chi Sigma is a co-ed professional chemistry fraternity founded at the University of Wisconsin-Madison in 1902. Alpha Chi Sigma is a national organization with chapters across the country and has numerous faculty members on campus in the Chemistry, Chemical Engineering, and Biochemistry departments. Alpha Chi Sigma strives for the advancement of chemistry both as a science and as a profession, provides a free chemistry tutoring program for students, and participates in science and non-academic outreach events. We focus on academic and professional development but also on forming lifelong friendships. We have members majoring in Chemistry, Biology, Biochemistry, Chemical Engineering, Neuroscience, Microbiology, Animal Science, Botany, Food Science, Psychology, and more!
Check out our official website for more information: http://alphachisigmauw.com/","axsalphachapter@gmail.com","http://alphachisigmauw.com/","No Instagram available"
"Alpha Chi Omega - Kappa Chapter","","axopresident.kappa@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphachiomega/contact","https://www.instagram.com/axowisconsin/"
"Alpha Epsilon Delta (PreHealth Honor Society), Wisconsin Beta Chapter","Please visit our new website, https://uwmadisonaed.wixsite.com/uwaed, for up-to-date information.
To Join AED please send an email to srajesh3@wisc.edu
Alpha Epsilon Delta is a pre-health honors society that is a Beta chapter of the national AED here at the University of Wisconsin-Madison campus.  At our general bi-weekly meetings we have a variety of physician speakers and other pre-health related speakers to advance you in your undergraduate career. We host volunteer events to help you get involved in the Madison community, Public Relations events to learn how to manage life as a pre-health student, and social events to blow off steam from our crazy, busy schedules and spend time with other pre-health students!
While there are many pre-health orgs on campus, ours is unique in that we have a partnership with the UW Surgery Department that allows our active members to shadow in surgery (check it out here:  Surgical Shadowing Program | Alpha Epsilon Delta (uwmadisonaed.wixsite.com). Other events we offer are the phlebotomy and CPR courses, which are highly valuable to a pre-health student. Additionally, many of us have volunteered at one of Madison’s three hospitals, so we are more than able to help you find a volunteering position.","dhoondia@wisc.edu","https://uwmadisonaed.wixsite.com/uwaed","No Instagram available"
"Alpha Epsilon Phi - Sigma Chapter","Alpha Epsilon Phi is a national sorority, founded October 24, 1909, by seven women, dedicated to helping women become the best they can be. These seven women were searching for a group of young women that would contribute to the growth of its members emotionally, intellectually and socially. We are a sorority that strives to inspire and support exemplary women dedicated to friendship and a lifelong commitment to sisterhood, while building on the vision of our founders. We prize individuality, encouraging each member to discover and develop the talents and abilities that make her unique. But just as we value individuality, we also prize togetherness, fostering friendships and a sense of belonging. When becoming a part of AEPhi, you are not just becoming a member of a sorority; you are becoming a sister in a family, full of love, trust and understanding that lasts a lifetime.
Alpha Epsilon Phi has two national philanthropies. Sharsheret is a national nonprofit organization of cancer survivors dedicated to addressing the unique challenges young women living with breast cancer deal with on a day to day basis. Elizabeth Glazer Pediatrics AIDS Foundation, our second national philanthropy, is one of the leading pediatric AIDS organizations. Elizabeth was a member of AEPhi Sigma Chapter, and while giving birth to her first child, she was transfused with blood that was infected with the AIDS virus, which she unknowingly passed along to her two children. The Elizabeth Glaser Pediatric AIDS Foundation is a nonprofit organization dedicated to preventing pediatric HIV infection and eliminating pediatric AIDS through research, advocacy, and prevention, care, and treatment programs. 
  Multa Corda Una Causa, Many hearts One purpose.","aephisigma.president@gmail.com","https://wiscophi.com","No Instagram available"
"Alpha Gamma Rho - Iota Chapter","Alpha Gamma Rho is a social/professional fraternity for men interested in the study of agriculture and who want to become actively involved on campus. We also have a vast alumni network that assists with career development and connections.","agriotaproud@gmail.com","http://www.wisconsinagr.com","No Instagram available"
"Alpha Kappa Alpha Sorority, Inc (R) - Epsilon Delta Chapter","Founded on Wednesday January 15, 1908 on the campus of Howard University in Washington D.C., Alpha Kappa Alpha Sorority, Incorporated ® is the first Greek Letter Organization to be established and nationally incorporated by college-trained African American women. 
The purpose of Alpha Kappa Alpha Sorority, Inc. is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of service all mankind. 
The Epsilon Delta Chapter became the First Black Sorority on the University of Wisconsin-Madison campus, as well as the first Undergraduate chapter of Alpha Kappa Alpha in the state. Given the small number of Black students enrolled at the University of Wisconsin-Madison on Saturday May 18, 1968, the presence of a Black sorority on this campus made a very important statement. 
The Epsilon Delta Chapter was and still is involved in promoting Black unity and Black heritage on campus, as well as providing service to the University Wisconsin-Madison and Madison communities. Through our programming and service initiatives, this powerful legacy of ‘Being of Service to all Mankind’ proudly continues today, and we continue to do it with ‘Style and Grace’
Symbol : Ivy Leaf
Colors: Salmon Pink and Apple Green 
Flower: Pink Tea Rose
Motto: ""By Culture and By Merit""
Current President: Makayla Hughes
Charter Members of the Epsilon Delta Chapter of Alpha Kappa Alpha Sorority, Inc. 
Margaret Balsley
Carol Brunson Day
Karen Dickson
Priscilla Florence
Judith Gordon
LaCharion Griffin
Sara Jackson
Deborah McCormick
Gwynette McDonald
Renee Thomas
Cheryl Turner
Carma Whitfield
  Current initiatives under International President Danette Anthony Reed
Please see http://www.aka1908.com/ or http://www.akacentral.org/index.php/en/ for more information
  Privacy Policy
The Epsilon Delta Chapter of Alpha Kappa Alpha Sorority, Inc. is committed and recognizes your need for protection and privacy issues on the internet.
In general, you visit the www.aka1908.com without telling us who you are or revealing any information about yourself. We do collect Internet Protocol addresses and domain names of visitors for site administration purposes, such as to analyze this data for trends and statistics. No personal information is obtained, rather just the patterns of usage of our various users may be tracked and monitored. This data is used to customize our website content to deliver a better experience to our users.
  Disclaimers
This website and its content are provided ""as is"" and the Epsilon Delta Chapter excludes fullest extent permitted by applicable law any warranty, express or implied, including, without limitation, any implied warranties of merchantability, satisfactory quality or fitness for a particular purpose. The functions embodied on, or in the materials, this website are not warranted to be uninterrupted or without error. You, not Epsilon Delta Chapter, assume the entire cost of all necessary servicing , repair or correction due to your use of this website.
Except as specifically stated in this Policy, or elsewhere on this website, or as otherwise required by applicable law, neither Epsilon Delta Chapter nor its members, content providers, or other representatives will be liable for damages of any kind (including, without limitation, lost profits, direct, indirect, compensatory, consequential, exemplary, special, incidental, or punitive damages) arising out of your use of, your inability to use, or the performance of his website or the content whether or not we have been advised of the possibility of such damages.
Epsilon Delta Chapter uses reasonable efforts to ensure the accuracy, correctness and reliability of the content, but we make no representations or warranties as to the content's accuracy, correctness or reliability.
Alpha Kappa Alpha Sorority, Inc. is not responsible for the design nor content of these web pages. They are the sole property and responsibility of the Central region or the Epsilon Delta Chapter who hosts and maintains this website.
Some U.S. states and foreign countries do not permit the exclusion or limitation of implied warranties or liability for certain categories of damages. Therefore, some or all of the limitations above may not apply to you to the extent they are prohibited or superseded by state or international provisions.
Last Update: August 31st, 2024","epsilondelta1968@gmail.com","https://uwmadison.campuslabs.com/engage/organization/epsilondeltaaka/contact","https://www.instagram.com/epsilondelta_aka/"
"alpha Kappa Delta Phi International Sorority Inc. Alpha Epsilon Chapter","alpha Kappa Delta Phi (aKDPhi) was first founded at the University of California, Berkeley in 1990. In the Spring of 2008, it was established at UW-Madison and has spread nationwide (plus Canada!) with over 59 chapters and is still actively growing at different universities. The purpose of this Asian-interest sorority is to promote sisterhood, scholarship, leadership, and Asian/Asian-American awareness in the University and in the community, while encouraging the expression of the individual. We may be Asian-interest, but we are not Asian-exclusive! Anyone from all walks of life is welcome and accepted.","wisc.akdphi@gmail.com","https://wiscakdphi.wixsite.com/website-7/active-house","No Instagram available"
"Alpha Kappa Psi (Alpha Mu Chapter)","The Alpha Mu Chapter of Alpha Kappa Psi (AKPsi) at the University of Wisconsin is the most prestigious business fraternity on campus. We are the fourth largest chapter of AKPsi in the world, members of Alpha Mu enjoy an unbeatable social network, unparalleled access to professional development and community service events, and enviable company and alumni contacts.
Members of AKPsi major in all core areas of business as well as engineering, communications, journalism, retail, computer science, foreign languages, and more. With a cumulative GPA standard of 3.0, incredible leadership skills gained through many opportunities, and a required number of service and professional development hours, you can be sure that members of AKPsi are the most well-rounded students on campus.
AKPsi is America’s first professional business organization. Founded in 1904, AKPsi is recognized as the premier developer of principled business leaders. With over 298,000 initiated members at 219 universities in 4 countries, AKPsi is the world’s oldest, largest, and most prestigious business fraternity in the world. Members of AKPsi have held every major political position in the United states, including the presidency, as well as executive positions in the world’s most profitable companies.
To learn more about our organization and how you can join, visit our website or contact us by clicking below.","mkyang4@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/badgerakpsi/contact","https://www.instagram.com/badgerakpsi"
"Alpha Lambda Mu Fraternity at the University of Wisconsin - Madison","The mission of Alif Laam Meem is to connect, build, and sustain a lifelong brotherhood as the first Muslim-interest fraternity in America through excellence in character, excellence in service, excellence in intellectual standard, excellence in spirituality, and excellence in creativity amongst all members, chapters, conglomerates, and associates.","wisc@alphalambdamu.org","http://n/a","No Instagram available"
"Alpha Lambda Rho","Our mission is to connect, build, and sustain a lifelong sisterhood as the first Muslim-interest sorority at the University of Wisconsin-Madison through excellence in character, excellence in service, excellence in intellectual standard, and excellence in creativity amongst all members, chapters, conglomerates, and associates.","alphalambdarho1@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphalambdarho/contact","https://www.instagram.com/alr_uw/"
"Alpha Omega Campus Ministry, Madison","Alpha Omega Campus Ministry, Madison is a space where you can find family, faith, and a community dedicated to loving God and loving others. We are firm believers in the power of the Bible, and we’d love to help you learn more about it! If you’re looking to deepen your relationship with God, join us for weekly Bible discussions, devotionals, and Sunday church services!
  If you are interested in more information, feel free to text Dan Winchester at 414-562-7136. Church services are held at the Madison Church of Christ located at 2001 Fish Hatchery Rd.","danwinchester1@gmail.com","https://www.madisonchurch.net/ministries","No Instagram available"
"Alpha Omega Epsilon, Omicron Chapter","ABOUT US:
Alpha Omega Epsilon is a professional and social international sorority that was founded in 1983 to promote friendship, leadership, and professionalism to all members of the organization, the community, and the profession. Today, there are over 40 active chapters of Alpha Omega Epsilon between the United States and Canada! The Omicron chapter at UW-Madison was charted in 2004, and continues to serve as a thriving community that supports women and underrepresented genders in engineering and technical science fields. Although we are a STEM oriented sorority, we are accepting of all majors! 
FRIENDSHIP
The Sisters of Alpha Omega Epsilon promote ideals and objectives to help you develop lifelong friendships! In our unique professional and social sorority, you will form close connections throughout your collegiate journey and beyond. Our members strive to create a friendly, warm atmosphere where your integrity, character, and self-confidence can flourish!
LEADERSHIP
At Alpha Omega Epsilon, we believe in nurturing and developing personal growth and skills. As a member, you'll have the opportunity to take on leadership roles within our sorority, empowering you to build essential skills that extend beyond the academic realm. Whether it's organizing events, volunteering, or mentoring others, you'll find abundant opportunities to refine and enhance your abilities.
PROFESSIONALISM
Alpha Omega Epsilon strives for professional and academic achievement. We connect you with career opportunities and resources available from our active members and alumni. You will have the opportunity to meet like-minded people who understand the hardships and triumphs of being an underrepresented gender in STEM. Alpha Omega Epsilon holds a variety of professional events such including resume building, career fair preparation, and plenty of study nights!
INTERESTED IN JOINING US?
Our next recruitment will be held Fall 2025! More updates about our recruitment can be found on our Instagram or our chapter's website. We cannot wait to meet you!","a.o.e.wisconsin@gmail.com","https://www.aoewisconsin.com/","https://www.instagram.com/a.o.e.wisco/"
"Alpha Phi Alpha Fraternity, Inc. Gamma Epsilon Chapter","Alpha Phi Alpha Fraternity, Inc. (ΑΦΑ) is the first African-American, intercollegiate Greek-lettered fraternity. The individuals recognized by the fraternity as founders are known as the Seven Jewels, who were Henry Arthur Callis, Charles Henry Chapman, Eugene Kinckle Jones, George Biddle Kelley, Nathaniel Allison Murray, Robert Harold Ogle, and Vertner Woodson Tandy. It was initially a literary and social studies club organized in the 1905–1906 school year at Cornell University, in Ithaca, New York. The group later evolved into a fraternity with a founding date of December 4, 1906, at Cornell. It employs an icon from Ancient Egypt, the Great Sphinx of Giza, as its symbol. Its aims are ""Manly Deeds, Scholarship, and Love For All Mankind,"" and its motto is First of All, Servants of All, We Shall Transcend All.","olakunle04ojo@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphaphialpha/contact","https://www.instagram.com/mightyge_alphas"
"Alpha Phi Omega - Beta Theta","Alpha Phi Omega is a national Co-ed Service Fraternity. Following the cardinal principles of leadership, friendship and service, APO serves our chapter, campus, community and country. Not only does APO do various service events, but also social events to create the lasting bonds of brotherhood. The pledging process is rewarding and manageable. Every different type of major can flourish in Alpha Phi Omega, and different talents are highlighted. Whether you are good at math, art, sports, speaking, teaching, computer programming, or just having fun, Alpha Phi Omega - Beta Theta is the place for you!","apo.bt.president@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphaphiomega/contact","https://www.instagram.com/apobetatheta/"
"Alpha Phi, Iota Chapter","The founding members formed Alpha Phi in the 1870s, during an era when women faced great opposition to pursuing a higher education. Ten brave, intelligent women from Syracuse University in New York gathered to combat this discrimination and find support among peers. In 1872, they created the Alpha Phi Fraternity (the term “sorority” did not emerge until a few years later).
Our founders of dreamed of a vibrant future for Alpha Phi by instilling the values of Sisterhood, Scholarship, Service, Leadership, and Loyalty.
The ambition and vision of our revolutionary founders thrives today through the actions and dedication of Alpha Phi’s 200,000 collegiate members nationwide and 173 chapters throughout the United States and Canada.
The Iota chapter of Alpha Phi has a long tradition at the University of Wisconsin-Madison. It was founded in 1896. 
Today Alpha Phi is a community of vibrant women who strive for strong sisterhood and community. Alpha Phi is a group of students dedicated to scholarship and the Greek Community!","alphaphi.iota@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphaphi/contact","https://www.instagram.com/alphaphiwisconsin/"
"Alpha Psi Lambda National, Inc. - Alpha Phi Chapter","Alpha Psi Lambda National, Inc. is a co-ed Latine, social Fraternity that exists to promote continued personal and collective growth of our membership through education, leadership, cultural awareness and community service. 
Alpha Psi Lambda National, Inc. believes in the concept of Familia to create a support network for our members while creating the real-world experience of working with Men, Women, and other self-identifying individuals.","apsiuwmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/alphapsilambda/contact","No Instagram available"
"Alpha Sigma Phi Fraternity, Kappa Chapter","Alpha Sigma Phi is not interested in only becoming the fraternity of choice, for this perspective unnecessarily narrows our recruitment efforts to those inclined to go Greek. We instead, will be focused on appealing to a broader base of undergraduate men, thereby competing directly with other activities and organizations on today’s campuses. By so doing, we help to ensure that we attract and recruit the very best and brightest undergraduate men.

We have chosen to define our Fraternity as a co-curricular organization to underscore our desire to partner with the institutions which host our chapters in their endeavor to prepare their students for success after college.

Relevant, Replicable, and Recognizable: organizationally, we cannot reach our vision if the products and services we offer are not relevant to our customers, replicable across chapters and across time and recognizable as ours so as to be discernible from our competition. These “Three Rs” will become the litmus test against which we will allocate resources in the months and years to come.","algoldstein3@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/alphasigmaphi/contact","https://www.instagram.com/alphasigwisconsin/?hl=en"
